"Algorithm","Hash","Path"
"SHA256","4E03FC5561E1230B32773F49373D8B6AAC16EACEB1E1FF6AB0C072E320945161","D:\LAB_AT_BMHTTT\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","8929DC7CACD02951CAB171FD592D0F9889BED4F9EB8CF536057F95E50A02DFD3","D:\LAB_AT_BMHTTT\LAB3\Evidence\autoruns_after.csv"
"SHA256","1B8ABE4DA869EA369C4AA59A1D324A01826714FD4B30F6EBAE03534AB1C45A06","D:\LAB_AT_BMHTTT\LAB3\Evidence\autoruns_before.csv"
"SHA256","11E846CA98BA4809D62339B58FB56645BD84AF854681E572C2BBF8C3FFABD745","D:\LAB_AT_BMHTTT\LAB3\Evidence\autoruns_diff.txt"
"SHA256","A118A8C2E348925CF5118F0118F2D8231E557C84F2A639A5F620CA48FD5635C8","D:\LAB_AT_BMHTTT\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","D:\LAB_AT_BMHTTT\LAB3\Evidence\baseline_firewall.txt"
"SHA256","F8F0D5CF16DDABC0E7B23158A5BFA28A6F61BA1812099D39BAF14FC88FCD2564","D:\LAB_AT_BMHTTT\LAB3\Evidence\baseline_os.txt"
"SHA256","24E5D8450835390AF3D1D2515D13F7773CFCA6469FD627145D6BD6AD12CE84AC","D:\LAB_AT_BMHTTT\LAB3\Evidence\ddos_sources.txt"
"SHA256","871EBF799B0AB462A8E9847B13EA7196B8A33070FC686CFF7236038BD1CB8956","D:\LAB_AT_BMHTTT\LAB3\Evidence\defender_eicar.txt"
"SHA256","C7BDD976BFF7937633E7A0062BE13D35A72C2C574F162E4CC6C67C1441B9B527","D:\LAB_AT_BMHTTT\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","D:\LAB_AT_BMHTTT\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","D:\LAB_AT_BMHTTT\LAB3\Evidence\mail_volume.txt"
"SHA256","D6EB69E319D54C1BA54110468E682909CE1477C266E3B62AE68EF72067DBF091","D:\LAB_AT_BMHTTT\LAB3\Evidence\start_time.txt"
"SHA256","A296F8CD8B6B55BF8CDA330301E398BA3F482C5049478B80871E4DEDDB5AE16B","D:\LAB_AT_BMHTTT\LAB3\Evidence\sysmon_persistence.txt"
"SHA256","5C17AEB440FDEECE0CDABEDEABFB5A377AF113E5D0B92095BC5680461ABB0EF0","D:\LAB_AT_BMHTTT\LAB3\Evidence\task_ran.txt"
